Nombre,Formato,Tamaño MB,Conversión
file_1.mp3,audio/mpeg,10.2,ACC
file_2.mp3,audio/mpeg,11.4,ACC
file_3.mp3,audio/mpeg,10.1,ACC
file_4.mp3,audio/mpeg,7.72,OGG
file_5.mp3,audio/mpeg,10,OGG
file_6.mp3,audio/mpeg,7.2,WAV 
file_7.mp3,audio/mpeg,10.7,WAV 
file_8.mp3,audio/mpeg,7.03,WMA
file_9.mp3,audio/mpeg,13.5,WMA
file_10.aac,audio/aac,5.14,MP3
file_11.aac,audio/aac,12.1,MP3
file_12.aac,audio/aac,7.94,MP3
file_13.aac,audio/aac,10.7,OGG
file_14.aac,audio/aac,8.68,OGG
file_15.aac,audio/aac,9.56,WAV 
file_16.aac,audio/aac,7.84,WMA
file_17.ogg,audio/ogg,5.85,MP3
file_18.ogg,audio/ogg,9.29,MP3
file_19.ogg,audio/ogg,7.5,WAV 
file_20.ogg,audio/ogg,9.62,ACC
file_21.ogg,audio/ogg,11.7,WMA
file_22.wav,audio/x-wav,46.4,ACC
file_23.wav,audio/x-wav,49.4,MP3
file_24.wav,audio/x-wav,41,OGG
file_25.wav,audio/x-wav,43.8,WMA
file_26.wma,audio/x-ms-wma,8.68,MP3
file_27.wma,audio/x-ms-wma,8.25,MP3
file_28.wma,audio/x-ms-wma,8.73,ACC
file_29.wma,audio/x-ms-wma,10.2,OGG
file_30.wma,audio/x-ms-wma,6.64,WAV 
